WinEdt Shortcut List (Readonly)
===============================

Wednesday, November 30, 2016 at 9:57
Number of Shortcuts: 215

L+Shift+Ctrl           Te&X|&DVI|&LaTeX
M+Shift+Ctrl           Te&X|&MetaPost
N+Ctrl                 &File|&New
N+Shift+Ctrl           &Document|&New Document...
O+Ctrl                 &File|&Open...
O+Shift+Ctrl           &Document|STD &Output File
P+Ctrl                 &File|&Print...
P+Shift+Ctrl           Te&X|PDFTe&Xify
R+Ctrl                 &Search|&Replace...
R+Shift+Ctrl           Te&X|&PDF|PDF Pre&view
S+Ctrl                 &File|&Save
S+Shift+Ctrl           Te&X|&DVI|DVI &Search
T+Ctrl                 Shortcuts|Transpose Chars
T+Shift+Ctrl           Te&X|&DVI|&TeX
V+Ctrl                 &Edit|&Paste
V+Shift+Ctrl           Te&X|&DVI|DVI Pre&view
W+Ctrl                 Shortcuts|Toggle Wrap/NoWrap
W+Shift+Ctrl           Shortcuts|Format Paragraph
X+Ctrl                 &Edit|Cu&t
X+Shift+Ctrl           Te&X|&TeXify
Z+Ctrl                 &Edit|&Undo
Z+Shift+Ctrl           &Edit|&Redo
`+Ctrl                 Popups|Grave
`+Shift+Ctrl           Popups|Tilde
